127.0.0.1, 2018-05-24 15:56:18, GET, /app1/appadmin/hooks, HTTP/1.1, 200, 1.134000
127.0.0.1, 2018-05-24 15:56:30, GET, /app1, HTTP/1.1, 200, 0.278000
127.0.0.1, 2018-05-24 15:56:31, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-05-24 15:56:54, POST, /admin/default/edit/app1/controllers/default.py, HTTP/1.1, 200, 0.025000
127.0.0.1, 2018-05-24 15:56:56, GET, /app1, HTTP/1.1, 200, 0.225000
127.0.0.1, 2018-05-24 15:56:56, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-05-24 15:57:07, POST, /admin/default/edit/app1/controllers/default.py, HTTP/1.1, 200, 0.032000
127.0.0.1, 2018-05-24 15:57:09, GET, /app1, HTTP/1.1, 200, 0.217000
127.0.0.1, 2018-05-24 15:57:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-05-24 15:57:17, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.048000
127.0.0.1, 2018-05-24 15:57:18, GET, /app1/appadmin/hooks, HTTP/1.1, 200, 1.108000
127.0.0.1, 2018-05-24 15:57:25, POST, /admin/default/edit/app1/controllers/default.py, HTTP/1.1, 200, 0.039000
127.0.0.1, 2018-05-24 15:57:28, GET, /app1, HTTP/1.1, 200, 0.229000
127.0.0.1, 2018-05-24 15:57:28, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-05-24 15:57:50, GET, /admin/default/index, HTTP/1.1, 303, 0.011000
127.0.0.1, 2018-05-24 15:57:50, GET, /admin/default/site, HTTP/1.1, 200, 0.087000
127.0.0.1, 2018-05-24 15:57:51, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-05-24 15:57:54, GET, /app1/default/index, HTTP/1.1, 200, 0.057000
127.0.0.1, 2018-05-24 15:57:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-05-24 15:57:56, GET, /admin/default/site, HTTP/1.1, 200, 0.057000
127.0.0.1, 2018-05-24 15:57:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-05-24 15:58:08, GET, /admin/default/pack/app1, HTTP/1.1, 200, 0.316000
127.0.0.1, 2018-05-24 15:58:31, GET, /admin/pythonanywhere/deploy, HTTP/1.1, 200, 0.020000
127.0.0.1, 2018-05-24 15:58:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-05-24 15:59:08, POST, /admin/pythonanywhere/create_account, HTTP/1.1, 500, 0.313000
127.0.0.1, 2018-05-24 16:00:25, POST, /admin/pythonanywhere/create_account, HTTP/1.1, 500, 0.044000
